Año;Provincia;Promedio Velocidad;Promedio Accesos;Pais
2022;Tierra Del Fuego;149.92372881355934;1891.4915254237287;Argentina
2022;Tucumán;179.08955223880596;7672.5970149253735;Argentina
2023;Catamarca;231.9777777777778;3281.8555555555554;Argentina
2023;Chaco;276.8666666666667;4895.975;Argentina
2023;Chubut;136.94656488549617;5182.93893129771;Argentina
2023;Corrientes;189.03508771929825;5563.289473684211;Argentina
2023;Córdoba;235.04471544715446;17401.577235772358;Argentina
2023;Entre Ríos;172.17741935483872;9381.935483870968;Argentina
2023;Formosa;186.16161616161617;2495.1414141414143;Argentina
2023;Jujuy;214.39655172413794;4064.060344827586;Argentina
2023;La Pampa;148.6030534351145;3663.709923664122;Argentina
2023;La Rioja;200.12359550561797;3928.191011235955;Argentina
2023;Mendoza;161.20945945945945;8060.736486486487;Argentina
2023;Misiones;171.59722222222223;5491.034722222223;Argentina
2023;Neuquén;175.3798449612403;5066.341085271318;Argentina
2023;Provincia de Buenos Aires;197.45931283905966;46728.84990958409;Argentina
2023;Río Negro;199.27380952380952;3971.7380952380954;Argentina
2023;Salta;217.1985294117647;6023.904411764706;Argentina
2023;San Juan;155.2018348623853;3810.761467889908;Argentina
2023;San Luis;197.1891891891892;5361.72972972973;Argentina
2023;Santa Cruz;118.16806722689076;2231.823529411765;Argentina
2023;Santa Fe;307.76666666666665;17212.92380952381;Argentina
2023;Santiago Del Estero;186.01818181818183;4437.045454545455;Argentina
2023;Tierra Del Fuego;158.0;1943.0731707317073;Argentina
2023;Tucumán;189.26277372262774;7726.912408759124;Argentina
2024;Catamarca;158.64788732394365;3196.549295774648;Argentina
2024;Chaco;143.625;5284.113636363636;Argentina
2024;Chubut;118.98245614035088;4567.6140350877195;Argentina
2024;Corrientes;145.71264367816093;5434.241379310345;Argentina
2024;Córdoba;377.1151832460733;17148.16230366492;Argentina
2024;Entre Ríos;165.2340425531915;9451.382978723404;Argentina
2024;Formosa;126.32467532467533;2462.1428571428573;Argentina
2024;Jujuy;157.6551724137931;4230.137931034483;Argentina
2024;La Pampa;122.75247524752476;3692.7524752475247;Argentina
2024;La Rioja;130.8;3758.0857142857144;Argentina
2024;Mendoza;117.37837837837837;8214.351351351352;Argentina
2024;Misiones;145.27;6182.28;Argentina
2024;Neuquén;127.8936170212766;5281.531914893617;Argentina
2024;Provincia de Buenos Aires;168.69849246231155;48961.278894472365;Argentina
2024;Río Negro;157.84375;4069.4140625;Argentina
2024;Salta;189.3653846153846;5846.067307692308;Argentina
2024;San Juan;101.0;3769.7764705882355;Argentina
2024;San Luis;167.31764705882352;5696.117647058823;Argentina
2024;Santa Cruz;84.20212765957447;2638.595744680851;Argentina
2024;Santa Fe;230.5185185185185;17190.246913580246;Argentina
2024;Santiago Del Estero;133.8235294117647;4456.294117647059;Argentina
2024;Tierra Del Fuego;134.0;1926.1382978723404;Argentina
2024;Tucumán;130.4903846153846;7732.403846153846;Argentina
